treat	lictec2	motivation	barriers	consiglio_lictec2	stdmatIII	stditaIII	school	perc_participation_orient	perc_participation_calp	perc_participation	late	female	immigrato_prima_gen	stdinvalsiI	stdinvalsiI_2	province	educmother	occmother	educfather	occfather	citizenship
0	0			0	-1.638013	-1.158758	9				0	0	0	-.9542981	.9106848	2	3	3	3	2	4
1	0	-.053908	-.2402143	0	-1.399596	-1.953131	18	1	.9655172	.9761904	1	0	1	-.7058952	.4982881	2	4	3	1	2	2
1	0			0	-1.280388	-.2650878	12	1	.7586207	.8333333	1	0	1	-.533851	.2849969	2	3	3	3	2	4
0	0	-.8663639	.5335246	0	-1.041971	-2.052428	100				1	1	0	-1.502311	2.256938	3	3	2	4	5	1
0	0			0			47				0	0	1	-.7758753	.6019824	3	4	5	4	5	1
1	0			0			62	.5384616	.3448276	.4047619	0	0	0	-.0811032	.0065777	3	4	5	4	5	1
0	0			0	-1.161179	-1.258054	139				1	0	1	.0588886	.0034679	4	3	4	3	1	4
1	0	-.7514955	.3541333	0	-.9227622	-2.151724	41	.8461539	.6206896	.6904762	0	1	1	-.0174062	.000303	3	4	2	4	5	4
0	0			0			132				1	1	1	.3966175	.1573054	4	4	5	4	5	4
0	0			0	.0309059	.2313955	106				1	0	1	.810813	.6574177	1	4	5	4	5	4
0	0	-1.118754	.2208297	0	-2.234056	-1.158758	16				0	0	1	-.4827521	.2330495	2	1	3	1	4	3
1	0	-.7373608	-.1337333	1	-1.399596	-1.555945	97	1	.8965517	.9285714	1	0	1	-1.986703	3.94699	3	3	3	3	5	3
1	0			0	-1.518805	-1.158758	76	.8461539	.5862069	.6666667	1	0	1	-1.610766	2.594568	3	4	5	4	5	1
1	0	-.3656309	-.1425224	0			61	1	.9655172	.9761904	1	0	0	.1608827	.0258833	3	4	5	4	5	1
0	0			0			44				1	0	1	-.2597235	.0674563	3	4	5	4	5	4
0	0			0	-1.161179	-1.357351	14				0	1	0	-.1768843	.0312881	2	2	3	3	2	4
0	0			0			37				1	0	1	-.1131619	.0128056	3	4	5	4	5	2
1	0	-1.016408	.8826135	0	-1.87643	-2.052428	3	1	.7586207	.8333333	0	1	1	-.5719443	.3271203	2	3	3	2	2	4
1	0			0			7	0	0	0	0	0	0	-.1067068	.0113863	2	4	5	4	5	4
0	0	-.3795957	-.142035	0	-.2075111	.4299885	59				1	0	1	.6897405	.4757419	3	3	3	4	5	2
0	0	-1.224795	.2421324	1	-.445928	-.5629779	114				1	0	1	1.225009	1.500646	4	4	5	4	5	4
0	0	-.9578125	.5343966	0			77				0	0	1	-.2469792	.0609987	3	4	5	4	5	1
0	0			0	.6269484	-1.655241	47				1	0	1	-.062184	.0038668	3	2	5	4	5	4
1	0	-1.06038	.3229252	0	-.2075111	-1.258054	72	.9230769	.7931035	.8333333	0	0	0	-.5844339	.341563	3	2	5	2	1	3
1	0			0	-1.161179	-1.555945	97	0	0	0	0	1	1	-.3105997	.0964721	3	2	2	2	2	1
0	0			0			98				0	0	0	.307406	.0944984	3	4	5	4	5	1
0	0			0			120				0	0	1	1.562738	2.442149	4	4	5	4	5	4
0	0			0			5				0	0	1	.0142828	.000204	2	4	5	4	5	4
1	0			1	1.103783	.8271752	116	0	0	0	0	1	1	.5302626	.2811784	4	4	5	4	5	4
1	0	-.0550902	-.2026501	1	-.5651366	-1.555945	135	1	.9655172	.9761904	0	0	1	.5814699	.3381072	4	2	2	2	4	4
0	0			0	-1.399596	-1.655241	133				0	0	0	-.3616795	.1308121	4	2	5	2	2	2
0	0	-.7232235	.5262091	0	-1.041971	-2.251021	77				1	1	1	-.8459699	.715665	3	3	3	3	4	4
1	0	.3533803	-.3471844	0	-.3267197	-.2650878	76	.8461539	.862069	.8571429	0	0	1	-.470154	.2210448	3	3	3	3	2	2
0	0			0			53				0	1	1	-.3999129	.1599303	3	4	5	4	5	4
0	0			0	-1.87643	-1.059461	39				0	1	0	-.2214901	.0490579	3	3	2	1	4	2
